name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
弗朗茨·瓦格纳,Franz Wagner,SF,1,1,87,85,90,80,83,56,73,48,64,76,49,50,93,55,80,75,80,90,70,95
保罗·班切罗,Paolo Banchero,PF,1,1,86,85,70,78,77,68,66,42,84,74,36,56,90,75,85,82,80,85,45,89
德斯蒙德·贝恩,Desmond Bane,SG,1,1,85,94,84,86,91,59,79,45,48,72,42,52,89,35,75,77,78,95,70,43
安东尼·布莱克,Anthony Black,PG,1,2,82,82,75,77,74,63,84,37,53,74,66,60,88,35,75,79,80,85,80,74
杰伦·萨格斯,Jalen Suggs,PG,5,1,82,91,94,78,84,55,91,39,60,76,97,66,82,40,80,83,80,60,85,55
小温德尔·卡特,Wendell Carter Jr.,C,1,1,79,82,87,74,79,78,47,63,78,55,41,58,78,80,75,74,81,60,70,75
莫里茨·瓦格纳,Moritz Wagner,C,1,3,78,94,84,83,83,58,40,62,75,50,77,42,75,75,65,76,81,80,35,40
戈加·比塔泽,Goga Bitadze,C,2,2,76,97,72,69,73,78,25,90,78,54,66,90,50,75,65,66,80,40,80,40
特里斯坦·达·席尔瓦,Tristan da Silva,PF,4,2,75,89,39,83,86,64,64,41,59,55,53,51,79,60,65,76,80,60,50,45
诺亚·彭达,Noah Penda,SF,4,2,75,63,68,83,64,73,73,80,72,59,59,67,73,50,75,76,80,60,65,57
杰文·卡特,Jevon Carter,PG,5,3,74,78,89,82,82,34,79,36,48,63,76,55,75,25,35,75,81,65,70,40
杰斯·理查德森,Jase Richardson,SG,4,2,74,93,79,82,73,33,67,48,46,67,37,37,76,40,87,78,80,50,55,54
乔纳森·艾萨克,Jonathan Isaac,PF,1,3,73,89,44,59,60,83,83,67,74,45,86,91,67,60,70,73,67,30,80,30
杰特·霍华德,Jett Howard,SF,5,3,73,82,88,75,93,55,67,42,53,58,35,56,74,35,65,73,80,60,45,47
贾马尔·凯恩,Jamal Cain,SG,4,3,70,81,59,73,63,60,68,55,40,41,49,68,80,65,70,69,83,65,50,40
科林·卡斯尔顿,Colin Castleton,C,1,3,70,78,70,69,83,62,32,80,69,49,37,65,64,65,65,67,80,45,50,38
亚历克斯·莫拉莱斯,Alex Morales,SG,5,3,68,70,69,76,75,64,73,57,64,61,74,32,70,45,75,73,82,50,50,78
