name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
泰雷斯·马克西,Tyrese Maxey,PG,4,1,93,84,88,85,89,54,79,29,52,80,73,60,94,25,70,83,77,98,65,89
乔尔·恩比德,Joel Embiid,C,1,1,92,94,91,79,85,84,68,62,90,75,36,73,87,85,80,68,56,95,80,97
保罗·乔治,Paul George,PF,4,1,83,90,90,83,84,71,79,35,68,71,86,55,82,55,80,79,93,85,70,40
VJ·埃奇科姆,VJ Edgecombe,SG,4,1,83,81,86,81,83,53,77,50,56,73,59,53,85,35,89,82,80,85,75,74
凯利·乌布雷,Kelly Oubre Jr.,SF,4,1,80,91,83,80,76,49,74,42,60,60,56,53,84,40,84,78,84,80,55,70
昆汀·格莱姆斯,Quentin Grimes,SG,4,2,79,89,70,76,84,46,83,36,53,69,42,51,82,25,70,78,80,75,75,72
特伦登·沃特福德,Trendon Watford,SF,3,2,76,96,68,68,78,66,52,48,69,71,36,62,79,75,75,75,80,75,40,66
安德烈·德拉蒙德,Andre Drummond,C,2,2,76,85,60,79,64,75,52,94,91,52,43,78,69,85,80,73,81,50,65,40
多米尼克·巴洛,Dominick Barlow,PF,3,2,76,87,44,70,71,59,55,66,59,45,49,67,79,60,75,73,80,75,50,62
贾斯汀·爱德华兹,Justin Edwards,PF,4,3,76,89,79,80,85,50,68,38,45,58,80,51,79,40,80,78,80,70,50,44
阿德姆·博纳,Adem Bona,C,2,3,75,77,57,54,71,70,37,77,66,36,40,90,72,80,80,81,80,40,60,37
凯尔·洛瑞,Kyle Lowry,PG,5,2,73,67,85,75,82,60,80,34,48,74,76,56,70,25,25,83,79,40,80,40
达伦·特里,Dalen Terry,SG,5,3,73,62,72,79,55,43,69,48,56,72,76,67,77,25,80,74,80,55,65,54
泰雷斯·马丁,Tyrese Martin,SG,5,3,73,68,76,75,68,54,66,49,55,71,46,37,70,40,60,70,80,60,55,59
贾巴里·沃克,Jabari Walker,SF,5,3,72,60,70,76,75,68,60,69,69,45,43,56,72,45,75,70,80,40,60,40
约翰尼·布鲁姆,Johni Broome,PF,3,3,70,75,75,69,60,70,60,69,69,60,49,72,72,50,60,69,80,50,60,55
马尔姜·博钱普,MarJon Beauchamp,PG,1,3,70,86,80,78,68,54,69,41,62,58,66,58,79,40,70,74,80,35,45,37
