name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
达米安·利拉德,Damian Lillard,PG,5,1,88,82,95,86,93,31,69,33,54,81,46,37,85,25,85,86,98,90,60,62
丹尼·阿夫迪亚,Deni Avdija,SF,1,1,88,86,94,76,81,62,80,42,73,78,38,56,88,40,75,80,84,90,80,80
谢顿·夏普,Shaedon Sharpe,SG,1,1,85,83,72,76,78,49,69,45,57,65,73,32,85,40,95,83,80,95,45,82
多诺万·克林根,Donovan Clingan,C,4,1,84,97,78,76,67,82,49,94,90,53,37,89,69,85,75,64,80,80,80,69
杰拉米·格兰特,Jerami Grant,PF,4,2,83,80,50,84,81,70,69,41,48,60,38,57,89,80,85,81,82,85,75,75
朱·霍勒迪,Jrue Holiday,SG,4,2,83,94,82,83,81,66,90,50,54,79,80,35,85,25,65,76,80,75,90,40
图马尼·卡马拉,Toumani Camara,PF,5,1,81,86,65,78,68,87,90,50,56,59,82,51,82,60,75,81,80,50,95,32
斯库特·亨德森,Scoot Henderson,PG,5,2,80,74,91,79,82,41,66,40,50,76,36,53,83,35,88,82,80,75,50,40
罗伯特·威廉姆斯三世,Robert Williams III,C,2,2,79,98,69,68,64,83,40,90,91,52,56,95,82,80,75,77,81,35,85,37
凯莱布·勒夫,Caleb Love,SG,5,3,77,75,91,76,74,34,65,38,51,72,40,35,79,25,65,72,80,75,40,75
西迪·西索科,Sidy Cissoko,SF,5,2,75,73,67,74,68,59,66,47,44,53,53,53,78,50,75,76,80,75,50,67
维特·克雷伊奇,Vit Krejci,SF,5,3,75,97,74,83,75,50,60,36,47,59,46,51,79,45,70,70,80,65,40,44
马蒂斯·塞布尔,Matisse Thybulle,SG,5,3,75,79,48,84,68,60,85,46,50,46,98,63,74,35,70,77,80,25,85,25
克里斯·穆雷,Kris Murray,PF,1,3,74,93,77,70,71,60,66,62,48,50,63,56,70,60,75,74,80,70,50,60
布莱克·韦斯利,Blake Wesley,PG,1,3,72,68,44,68,55,49,73,39,48,69,86,40,79,40,86,74,80,55,60,59
杨瀚森,Yang Hansen,C,4,3,70,62,66,63,83,69,40,52,67,61,36,66,60,75,70,60,80,50,45,50
克里斯·扬布拉德,Chris Youngblood,SG,5,3,68,67,74,80,80,42,64,42,65,48,47,32,69,40,60,71,87,45,45,65
