name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
维克托·文班亚马,Victor Wembanyama,C,1,1,97,89,79,82,81,96,80,71,96,73,59,99,86,95,85,76,88,98,98,97
迪伦·福克斯,De’Aaron Fox,PG,4,1,86,97,92,78,75,34,84,35,51,81,56,42,95,25,80,84,80,85,80,60
斯蒂芬·卡斯尔,Stephon Castle,SG,1,1,85,85,74,74,74,64,83,48,59,79,59,47,92,40,88,81,80,85,80,84
德文·瓦塞尔,Devin Vassell,SF,5,1,82,86,97,84,81,62,80,34,53,65,41,51,82,40,60,77,82,75,80,44
迪伦·哈珀,Dylan Harper,PG,1,2,80,83,91,71,73,52,70,41,56,75,53,51,88,30,86,81,80,75,65,69
凯尔登·约翰逊,Keldon Johnson,PF,1,2,79,98,83,81,79,67,73,63,69,61,40,37,87,65,75,80,80,70,65,61
哈里森·巴恩斯,Harrison Barnes,PF,4,1,78,88,63,81,85,67,72,42,44,56,40,40,86,55,80,80,82,80,60,40
朱利安·尚帕尼,Julian Champagnie,SF,5,2,78,75,78,84,83,45,75,41,72,54,42,53,79,40,60,68,80,75,70,69
卢克·科内特,Luke Kornet,C,2,2,77,87,56,70,82,74,32,90,67,50,37,82,60,75,60,62,77,75,70,58
梅森·普拉姆利,Mason Plumlee,C,2,3,76,85,60,58,65,74,46,71,89,71,40,75,81,85,80,71,83,55,60,40
凯利·奥利尼克,Kelly Olynyk,C,4,3,75,93,70,74,67,70,50,66,71,72,53,60,75,70,60,61,82,65,65,49
卡特·布莱恩特,Carter Bryant,PF,5,3,75,66,74,77,67,60,75,51,71,51,36,62,72,45,88,81,80,50,70,38
林迪·沃特斯三世,Lindy Waters III,SG,5,2,73,90,85,75,80,53,67,37,60,57,46,55,70,25,65,63,80,75,40,65
乔丹·麦克劳克林,Jordan McLaughlin,SG,5,3,72,73,74,86,75,25,73,35,53,75,86,25,84,25,65,70,83,55,60,49
大卫·琼斯-加西亚,David Jones-Garcia,PG,1,3,71,76,70,76,78,48,65,54,59,74,64,52,72,50,75,73,87,35,50,44
俾斯麦·比永博,Bismack Biyombo,C,2,3,70,92,62,25,51,82,50,65,81,44,46,82,60,80,68,70,83,30,70,39
哈里森·英格拉姆,Harrison Ingram,PF,5,3,69,73,73,74,62,60,62,59,60,55,49,39,73,45,75,79,80,30,55,42
伊曼纽尔·米勒,Emanuel Miller,SF,5,3,68,67,70,74,75,55,58,49,60,52,50,47,70,45,80,78,80,35,40,40
