name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
维克托·文班亚马,Victor Wembanyama,C,3,1,96,86,78,79,82,96,78,70,97,71,46,99,86,90,85,76,88,98,98,94
迪伦·福克斯,De’Aaron Fox,PG,4,1,85,97,91,78,77,34,84,34,51,81,56,42,95,25,80,84,80,85,80,60
斯蒂芬·卡斯尔,Stephon Castle,SG,1,1,85,87,79,71,72,64,83,47,58,79,63,50,92,40,88,81,80,85,80,84
德文·瓦塞尔,Devin Vassell,SF,5,1,82,80,97,84,82,62,80,35,53,65,41,51,82,40,60,77,82,75,80,44
迪伦·哈珀,Dylan Harper,PG,1,2,80,83,94,69,74,52,70,41,56,75,59,51,88,30,86,81,80,75,65,69
凯尔登·约翰逊,Keldon Johnson,PF,1,2,79,98,83,81,78,67,73,65,68,61,41,37,87,65,75,80,80,70,65,61
卢克·科内特,Luke Kornet,C,2,2,78,85,56,70,82,74,32,90,68,51,37,82,60,75,60,62,77,75,70,58
哈里森·巴恩斯,Harrison Barnes,PF,4,1,78,86,67,81,85,67,72,42,44,56,40,40,86,55,80,80,82,80,60,40
朱利安·尚帕尼,Julian Champagnie,SF,5,2,78,80,78,84,85,45,75,41,71,54,42,53,79,40,60,68,80,75,70,69
梅森·普拉姆利,Mason Plumlee,C,2,3,76,85,60,58,65,74,46,71,89,71,40,75,81,85,80,71,83,55,60,40
凯利·奥利尼克,Kelly Olynyk,C,4,3,75,93,70,74,67,70,50,66,71,72,53,60,75,70,60,61,82,65,65,49
卡特·布莱恩特,Carter Bryant,PF,5,3,74,64,74,75,68,60,75,51,69,51,37,58,72,45,88,81,80,50,70,38
林迪·沃特斯三世,Lindy Waters III,SG,5,2,73,90,85,75,80,53,67,37,60,57,46,55,70,25,65,63,80,75,40,65
乔丹·麦克劳克林,Jordan McLaughlin,SG,5,3,72,73,74,86,75,25,73,35,53,75,86,25,84,25,65,70,83,55,60,49
大卫·琼斯-加西亚,David Jones-Garcia,PG,1,3,71,76,70,76,78,48,65,54,59,74,64,52,72,50,75,73,87,35,50,44
俾斯麦·比永博,Bismack Biyombo,C,2,3,70,92,62,25,51,82,50,65,81,44,46,82,60,80,68,70,83,30,70,39
哈里森·英格拉姆,Harrison Ingram,PF,5,3,69,73,73,74,62,60,62,59,60,55,49,39,73,45,75,79,80,30,55,42
伊曼纽尔·米勒,Emanuel Miller,SF,5,3,68,67,70,74,75,55,58,49,60,52,50,47,70,45,80,78,80,35,40,40
