name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
锡安·威廉森,Zion Williamson,PF,3,1,86,83,79,67,72,59,55,61,59,67,46,56,84,85,93,88,60,85,40,85
特雷·墨菲三世,Trey Murphy III,SF,5,1,85,84,74,81,89,69,69,39,62,62,59,50,81,65,88,78,80,90,65,82
德章泰·穆雷,Dejounte Murray,SG,4,1,84,97,98,74,87,53,83,30,76,81,86,42,90,40,75,74,80,85,80,61
萨迪克·贝,Saddiq Bey,SF,4,2,84,87,64,82,84,64,69,53,60,61,42,32,87,45,75,75,81,90,65,88
德里克·奎恩,Derik Queen,C,3,1,80,85,71,66,79,69,52,60,83,77,59,73,82,65,70,69,80,75,60,75
杰里迈亚·菲尔斯,Jeremiah Fears,PG,1,1,80,73,75,77,79,38,62,39,56,75,63,53,84,40,70,79,80,75,60,79
赫伯特·琼斯,Herbert Jones,SG,5,2,79,65,75,73,81,85,91,41,49,63,83,56,67,55,75,77,80,30,90,55
伊夫·米西,Yves Missi,C,2,2,78,78,42,30,56,75,48,91,67,34,35,92,65,85,80,79,80,45,60,40
德安德烈·乔丹,DeAndre Jordan,C,2,3,76,75,25,25,41,70,57,90,94,39,35,85,57,75,75,77,94,30,55,44
乔丹·普尔,Jordan Poole,PG,5,2,76,77,66,75,88,47,57,30,45,77,40,53,80,45,60,73,80,70,30,78
卡洛·马特科维奇,Karlo Matkovic,PF,1,2,76,78,75,84,73,73,41,66,72,45,41,87,77,75,75,68,80,70,50,44
布莱斯·麦高文斯,Bryce McGowens,SF,4,3,75,86,82,84,78,37,66,32,48,46,42,42,74,40,80,73,80,75,65,55
凯文·卢尼,Kevon Looney,C,2,3,74,74,44,69,55,72,46,94,77,58,59,70,70,75,70,74,84,35,65,38
乔丹·霍金斯,Jordan Hawkins,SG,5,3,72,53,71,77,80,45,65,38,50,58,35,53,75,25,60,71,80,60,50,55
米卡·皮维,Micah Peavy,PG,4,3,72,59,75,69,71,59,71,53,47,62,66,47,79,40,80,76,80,50,50,42
特雷·亚历山大,Trey Alexander,SG,1,3,68,73,81,70,82,30,59,34,46,64,41,30,73,25,30,68,80,50,30,55
亨特·迪金森,Hunter Dickinson,PF,3,3,68,78,70,69,73,67,52,70,79,57,30,60,62,70,65,59,80,40,50,54
