name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
凯文·杜兰特,Kevin Durant,SF,1,1,93,98,97,90,89,70,77,33,62,78,38,62,96,60,85,80,88,95,75,85
阿尔佩伦·申京,Alperen Sengun,C,3,1,87,93,70,71,69,72,63,71,74,79,59,70,80,70,80,74,80,90,65,75
阿门·汤普森,Amen Thompson,SG,3,1,86,88,69,57,77,78,93,66,61,76,59,56,83,60,96,87,80,60,95,44
小贾巴里·史密斯,Jabari Smith Jr.,PF,4,1,81,96,77,82,77,70,69,48,67,54,40,66,75,75,85,76,80,80,55,54
里德·谢泼德,Reed Sheppard,PG,4,2,80,90,80,83,79,54,78,33,50,74,86,62,79,25,70,85,80,75,70,62
弗雷德·范弗里特,Fred VanVleet,PG,5,1,80,75,82,78,81,27,80,33,49,79,66,51,70,25,35,78,82,60,80,55
塔里·伊森,Tari Eason,PF,4,2,80,76,67,85,68,78,85,65,71,44,76,58,82,35,80,80,80,40,80,44
克林特·卡佩拉,Clint Capela,C,2,3,77,66,50,25,62,83,47,97,80,33,59,89,70,80,75,68,83,30,80,34
史蒂文·亚当斯,Steven Adams,C,2,2,77,73,65,26,58,80,55,98,75,57,43,65,69,70,70,69,82,60,70,59
多里安·芬尼-史密斯,Dorian Finney-Smith,SF,5,2,75,80,71,70,64,72,83,52,52,54,38,47,84,40,84,75,81,60,75,58
约什·奥科吉,Josh Okogie,SG,5,2,75,75,70,83,60,50,77,57,48,54,73,47,77,30,75,83,82,70,70,49
杰肖恩·泰特,Jae’Sean Tate,SF,1,3,73,93,70,76,69,70,70,65,55,60,70,42,84,65,75,77,80,40,65,54
阿隆·霍勒迪,Aaron Holiday,SG,5,3,73,94,89,82,86,34,68,29,40,67,42,50,79,25,60,71,84,65,45,47
杰夫·格林,Jeff Green,PF,5,3,73,88,75,76,82,69,70,41,49,54,32,62,79,65,70,77,82,50,60,51
JD·戴维森,JD Davison,PG,4,3,69,70,73,71,73,25,56,36,55,73,69,61,72,25,85,73,80,50,45,40
特里斯坦·牛顿,Tristen Newton,PG,4,3,68,70,69,73,81,49,64,52,58,72,58,42,71,30,50,74,80,40,45,50
以赛亚·克劳福德,Isaiah Crawford,SF,5,3,68,71,74,78,73,55,57,54,59,44,45,44,70,50,65,70,80,50,40,45
