name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
杰伦·布伦森,Jalen Brunson,PG,1,1,93,96,93,86,85,55,73,33,47,89,36,30,98,40,35,82,81,95,75,98
卡尔-安东尼·唐斯,Karl-Anthony Towns,C,4,1,90,86,53,84,86,71,50,69,92,63,42,61,82,85,75,82,82,90,65,88
米卡尔·布里奇斯,Mikal Bridges,SG,4,1,84,94,83,82,80,69,88,42,52,77,76,65,75,40,75,84,84,70,85,60
OG·阿努诺比,OG Anunoby,PF,4,1,84,70,52,78,80,81,90,48,61,49,76,61,75,60,85,82,81,75,90,60
约什·哈特,Josh Hart,SF,4,1,82,91,79,83,74,78,86,53,82,73,56,51,84,25,70,83,82,75,80,57
米切尔·罗宾逊,Mitchell Robinson,C,2,2,79,75,68,32,38,83,49,98,85,52,66,89,66,85,80,73,80,35,80,41
迈尔斯·麦克布莱德,Miles McBride,SG,1,2,79,58,97,86,81,40,81,37,44,65,42,40,80,25,65,77,80,75,75,55
兰德里·沙梅特,Landry Shamet,PG,5,2,77,89,89,88,76,25,60,35,45,63,40,51,79,35,70,76,81,75,35,69
乔丹·克拉克森,Jordan Clarkson,SF,4,2,77,97,72,76,78,43,58,46,40,61,40,42,82,25,70,75,83,70,40,60
泰勒·科莱克,Tyler Kolek,PG,4,3,74,82,84,76,83,32,73,38,58,77,46,40,82,25,45,77,80,65,50,45
盖尔雄·雅布塞莱,Guerschon Yabusele,PF,5,2,74,63,67,73,74,62,66,58,66,57,43,52,80,50,85,71,84,65,40,45
穆罕默德·迪亚瓦拉,Mohamed Diawara,PF,1,3,73,72,67,78,55,64,60,43,66,48,55,40,72,70,85,77,80,60,50,59
阿里尔·胡克波蒂,Ariel Hukporti,C,2,3,72,51,57,47,65,74,37,87,75,41,38,90,59,75,75,65,82,35,45,50
特雷·杰米森,Trey Jemison III,C,2,3,71,83,50,29,39,71,37,78,65,41,66,76,60,75,75,72,82,50,65,40
凯文·麦卡勒,Kevin McCullar Jr.,SG,3,3,71,76,75,74,79,52,72,74,55,56,56,63,76,45,75,76,80,40,50,45
帕科姆·达迪耶,Pacome Dadiet,SF,5,3,69,70,76,75,75,50,69,25,71,49,50,50,72,40,75,72,80,40,50,37
迪伦·琼斯,Dillon Jones,PF,2,3,69,63,70,57,55,67,69,58,67,63,42,42,72,35,65,77,80,35,55,55
