name,englishName,position,playerType,rotationType,rating,insideRating,midRating,threeRating,freeThrowPercent,interiorDefense,perimeterDefense,orbRating,drbRating,astRating,stlRating,blkRating,layupRating,standDunk,drivingDunk,athleticism,durability,offConst,defConst,drawFoul
凯德·坎宁安,Cade Cunningham,PG,1,1,94,95,83,80,82,63,75,41,62,92,59,62,94,40,75,82,80,98,75,95
贾伦·杜伦,Jalen Duren,C,2,1,87,98,90,35,72,88,62,91,94,49,46,71,85,80,95,80,80,85,85,44
奥萨·汤普森,Ausar Thompson,SF,2,1,82,87,72,68,57,84,89,68,66,65,96,70,84,60,91,87,80,30,90,43
托拜厄斯·哈里斯,Tobias Harris,PF,1,1,80,97,92,80,85,59,58,45,61,67,42,47,82,65,75,77,82,70,60,68
以赛亚·斯图尔特,Isaiah Stewart,C,1,2,80,97,82,78,75,84,67,65,70,42,31,95,76,75,70,76,77,70,80,50
杰登·艾维,Jaden Ivey,SG,4,2,79,94,92,82,78,59,71,41,50,69,41,62,85,30,85,82,80,65,65,62
邓肯·罗宾逊,Duncan Robinson,SG,5,1,78,97,81,84,73,50,52,32,47,57,40,51,75,30,70,65,83,85,30,54
朗·霍兰德,Ron Holland,SF,1,2,78,93,79,68,79,65,70,54,68,52,96,56,85,55,80,80,80,50,55,74
达尼斯·詹金斯,Daniss Jenkins,PG,5,2,78,82,74,84,78,32,69,42,44,78,86,51,84,30,60,71,80,70,65,65
贾文特·格林,Javonte Green,PF,5,2,77,88,70,79,78,74,77,47,53,52,91,58,79,25,85,73,82,50,75,60
卡里斯·勒韦尔,Caris LeVert,SF,4,3,76,80,80,77,68,45,74,32,46,75,59,67,80,60,75,76,78,50,60,60
保罗·里德,Paul Reed,C,3,3,75,98,87,76,56,69,43,94,81,50,89,84,69,80,75,68,80,40,40,64
马库斯·萨瑟,Marcus Sasser,PG,5,3,75,95,72,84,84,35,70,33,42,73,66,37,78,25,50,74,80,60,65,47
艾萨克·琼斯,Isaac Jones,PF,2,3,71,78,64,49,62,60,59,67,64,38,28,81,70,75,75,76,80,40,45,44
小温德尔·摩尔,Wendell Moore Jr.,SG,5,3,70,77,72,76,81,56,72,58,63,51,59,51,71,50,80,76,80,50,60,32
博比·克林特曼,Bobi Klintman,PF,5,3,69,68,70,74,80,57,64,41,51,59,62,57,69,65,75,72,80,50,55,47
查兹·拉尼尔,Chaz Lanier,SG,5,3,68,78,80,79,76,40,52,52,41,50,52,28,78,25,60,78,80,50,45,40
托卢·史密斯,Tolu Smith,PF,2,3,67,70,49,37,60,60,34,70,70,41,40,62,63,70,70,64,80,45,40,40
